candidate_rank,date,match_id,team1,team2,slug,event,source,source_url
1,2026-09-16,2397673,quazar,ex-rustec,quazar-vs-ex-rustec-nodwin-clutch-series-12,NODWIN Clutch Series 12,HLTV,https://www.hltv.org/matches/2397673/quazar-vs-ex-rustec-nodwin-clutch-series-12
2,2026-09-16,2397813,just-players,navi-junior,just-players-vs-navi-junior-cct-2026-europe-series-9,CCT 2026 Europe Series 9,HLTV,https://www.hltv.org/matches/2397813/just-players-vs-navi-junior-cct-2026-europe-series-9
3,2026-09-16,2397815,ex-rustec,nexus,ex-rustec-vs-nexus-cct-2026-europe-series-9,CCT 2026 Europe Series 9,HLTV,https://www.hltv.org/matches/2397815/ex-rustec-vs-nexus-cct-2026-europe-series-9
4,2026-09-16,2397970,teletubisie,ex-zero-tenacity,teletubisie-vs-ex-zero-tenacity-exort-fiesta-series-2,Exort Fiesta Series 2,HLTV,https://www.hltv.org/matches/2397970/teletubisie-vs-ex-zero-tenacity-exort-fiesta-series-2
5,2026-09-16,2397971,vexar,illyrians,vexar-vs-illyrians-exort-fiesta-series-2,Exort Fiesta Series 2,HLTV,https://www.hltv.org/matches/2397971/vexar-vs-illyrians-exort-fiesta-series-2
6,2026-09-16,2397972,trafficpills,kamui,trafficpills-vs-kamui-exort-fiesta-series-2,Exort Fiesta Series 2,HLTV,https://www.hltv.org/matches/2397972/trafficpills-vs-kamui-exort-fiesta-series-2
7,2026-09-16,2398020,drama,mellren,drama-vs-mellren-european-pro-league-series-9,European Pro League Series 9,HLTV,https://www.hltv.org/matches/2398020/drama-vs-mellren-european-pro-league-series-9
8,2026-09-16,2398141,nemiga,nemesis,nemiga-vs-nemesis-winline-mpkbk-cis-lan-season-7,WINLINE MPKBK CIS LAN Season 7,HLTV,https://www.hltv.org/matches/2398141/nemiga-vs-nemesis-winline-mpkbk-cis-lan-season-7
9,2026-09-16,2398280,olympus,bucketjonsboys,olympus-vs-bucketjonsboys-crossfire-season-6,CROSSFIRE Season 6,HLTV,https://www.hltv.org/matches/2398280/olympus-vs-bucketjonsboys-crossfire-season-6
10,2026-09-16,2398332,xdm,patsanvision,xdm-vs-patsanvision-esea-open-season-58-asia,ESEA Open Season 58 Asia,HLTV,https://www.hltv.org/matches/2398332/xdm-vs-patsanvision-esea-open-season-58-asia
11,2026-09-16,2398333,lfo-9,oasis,lfo-9-vs-oasis-esea-open-season-58-asia,ESEA Open Season 58 Asia,HLTV,https://www.hltv.org/matches/2398333/lfo-9-vs-oasis-esea-open-season-58-asia
12,2026-09-17,2397675,brute,quazar,brute-vs-quazar-nodwin-clutch-series-12,NODWIN Clutch Series 12,HLTV,https://www.hltv.org/matches/2397675/brute-vs-quazar-nodwin-clutch-series-12
