date,match_id,team1,team2,slug
2026-09-13,2397505,without-a-roof,lag,without-a-roof-vs-lag-nstlga-league-season-2
2026-09-13,2397966,vexar,benched-gods,vexar-vs-benched-gods-exort-fiesta-series-2
2026-09-13,2398023,g2-ares,honved,g2-ares-vs-honvd-european-pro-league-series-9
2026-09-14,2397290,metizport,nemiga,metizport-vs-nemiga-cct-2026-europe-series-8
2026-09-14,2397805,benched-gods,spirit-academy,benched-gods-vs-spirit-academy-cct-2026-europe-series-9-closed-qualifier
2026-09-14,2398029,bushido-wildcats,navi-junior,bushido-wildcats-vs-navi-junior-european-pro-league-series-9
2026-09-14,2397806,falcons-force,navi-junior,falcons-force-vs-navi-junior-cct-2026-europe-series-9-closed-qualifier
2026-09-14,2398126,butterfly,hyperspace,butterfly-vs-hyperspace-winline-mpkbk-cis-lan-season-7
2026-09-14,2397960,ence,falcons-force,ence-vs-falcons-force-exort-fiesta-series-2
2026-09-14,2398128,bet-m,hyperspace,bet-m-vs-hyperspace-winline-mpkbk-cis-lan-season-7
2026-09-14,2397962,illyrians,permitta,illyrians-vs-permitta-exort-fiesta-series-2
2026-09-14,2397506,sportsbetexpert,without-a-roof,sportsbetexpert-vs-without-a-roof-nstlga-league-season-2
2026-09-15,2398034,entropy,vexar,entropy-vs-vexar-european-pro-league-series-9
2026-09-15,2397808,quazar,permitta,quazar-vs-permitta-cct-2026-europe-series-9
2026-09-15,2397667,brute,g2-ares,brute-vs-g2-ares-nodwin-clutch-series-12
2026-09-15,2397811,g2-ares,azuolas,g2-ares-vs-azuolas-cct-2026-europe-series-9
2026-09-15,2397810,baks,spirit-academy,baks-vs-spirit-academy-cct-2026-europe-series-9
2026-09-15,2397927,detonate,overtake-sector,detonate-vs-overtake-sector-esea-advanced-season-58-north-america
2026-09-15,2398273,9ine,aimclub,9ine-vs-aimclub-stake-ranked-episode-5-open-qualifier
2026-09-15,2398134,young27,ww,young27-vs-ww-winline-mpkbk-cis-lan-season-7
