candidate_rank,match_date,source_match_id,event,team1,team2,source,source_url
1,2026-09-21,2397691,NODWIN Clutch Series 12,NODWIN Clutch Series 12 - Swiss Round 4 #1,NODWIN Clutch Series 12 - Swiss Round 4 #1,HLTV,https://www.hltv.org/matches/2397691/nodwin-clutch-series-12-swiss-round-4-1-nodwin-clutch-series-12
2,2026-09-21,2397692,NODWIN Clutch Series 12,NODWIN Clutch Series 12 - Swiss Round 4 #2,NODWIN Clutch Series 12 - Swiss Round 4 #2,HLTV,https://www.hltv.org/matches/2397692/nodwin-clutch-series-12-swiss-round-4-2-nodwin-clutch-series-12
3,2026-09-21,2397693,NODWIN Clutch Series 12,NODWIN Clutch Series 12 - Swiss Round 4 #3,NODWIN Clutch Series 12 - Swiss Round 4 #3,HLTV,https://www.hltv.org/matches/2397693/nodwin-clutch-series-12-swiss-round-4-3-nodwin-clutch-series-12
4,2026-09-21,2397832,CCT 2026 Europe Series 9,CCT 2026 Europe Series 9 - Swiss Round 4 #1,CCT 2026 Europe Series 9 - Swiss Round 4 #1,HLTV,https://www.hltv.org/matches/2397832/cct-2026-europe-series-9-swiss-round-4-1-cct-2026-europe-series-9
5,2026-09-21,2397833,CCT 2026 Europe Series 9,CCT 2026 Europe Series 9 - Swiss Round 4 #2,CCT 2026 Europe Series 9 - Swiss Round 4 #2,HLTV,https://www.hltv.org/matches/2397833/cct-2026-europe-series-9-swiss-round-4-2-cct-2026-europe-series-9
6,2026-09-21,2397834,CCT 2026 Europe Series 9,CCT 2026 Europe Series 9 - Swiss Round 4 #3,CCT 2026 Europe Series 9 - Swiss Round 4 #3,HLTV,https://www.hltv.org/matches/2397834/cct-2026-europe-series-9-swiss-round-4-3-cct-2026-europe-series-9
7,2026-09-21,2397989,Exort Fiesta Series 2,Leo,UNiTY,HLTV,https://www.hltv.org/matches/2397989/leo-vs-unity-exort-fiesta-series-2
8,2026-09-21,2397990,Exort Fiesta Series 2,UPGRADE,Illyrians,HLTV,https://www.hltv.org/matches/2397990/upgrade-vs-illyrians-exort-fiesta-series-2
9,2026-09-21,2397991,Exort Fiesta Series 2,INOX Division,ex-Zero Tenacity,HLTV,https://www.hltv.org/matches/2397991/inox-division-vs-ex-zero-tenacity-exort-fiesta-series-2
10,2026-09-21,2397992,Exort Fiesta Series 2,WW,Phantom Academy,HLTV,https://www.hltv.org/matches/2397992/ww-vs-phantom-academy-exort-fiesta-series-2
11,2026-09-21,2398010,Stake Pulse Beat II,Astralis,Sangal,HLTV,https://www.hltv.org/matches/2398010/astralis-vs-sangal-stake-pulse-beat-ii
12,2026-09-21,2398011,Stake Pulse Beat II,Sashi,FOKUS,HLTV,https://www.hltv.org/matches/2398011/sashi-vs-fokus-stake-pulse-beat-ii
13,2026-09-21,2398022,European Pro League Series 9,Drama,Saint Sinners,HLTV,https://www.hltv.org/matches/2398022/drama-vs-saint-sinners-european-pro-league-series-9
14,2026-09-21,2398027,European Pro League Series 9,Misa,Honvéd,HLTV,https://www.hltv.org/matches/2398027/misa-vs-honvd-european-pro-league-series-9
15,2026-09-21,2398056,Stake Pulse Beat II,Stake Pulse Beat II - Group A Winners' Match,Stake Pulse Beat II - Group A Winners' Match,HLTV,https://www.hltv.org/matches/2398056/stake-pulse-beat-ii-group-a-winners-match-stake-pulse-beat-ii
16,2026-09-21,2398057,Stake Pulse Beat II,Stake Pulse Beat II - Group A Elimination Match,Stake Pulse Beat II - Group A Elimination Match,HLTV,https://www.hltv.org/matches/2398057/stake-pulse-beat-ii-group-a-elimination-match-stake-pulse-beat-ii
17,2026-09-21,2398058,Stake Pulse Beat II,Stake Pulse Beat II - Group A Decider Match,Stake Pulse Beat II - Group A Decider Match,HLTV,https://www.hltv.org/matches/2398058/stake-pulse-beat-ii-group-a-decider-match-stake-pulse-beat-ii
18,2026-09-21,2398303,CROSSFIRE Season 6,Marsborne,Iowa Stormboar,HLTV,https://www.hltv.org/matches/2398303/marsborne-vs-iowa-stormboar-crossfire-season-6
19,2026-09-21,2398309,CROSSFIRE Season 6,NuTorious,Arctic Ace,HLTV,https://www.hltv.org/matches/2398309/nutorious-vs-arctic-ace-crossfire-season-6
20,2026-09-21,2398313,CROSSFIRE Season 6,Wanted Goons,Fathom,HLTV,https://www.hltv.org/matches/2398313/wanted-goons-vs-fathom-crossfire-season-6
21,2026-09-21,2398314,CROSSFIRE Season 6,F5,Omen,HLTV,https://www.hltv.org/matches/2398314/f5-vs-omen-crossfire-season-6
22,2026-09-21,2398315,CROSSFIRE Season 6,BucketJonsBoys,Addice,HLTV,https://www.hltv.org/matches/2398315/bucketjonsboys-vs-addice-crossfire-season-6
23,2026-09-22,2397694,NODWIN Clutch Series 12,NODWIN Clutch Series 12 - Swiss Round 4 #4,NODWIN Clutch Series 12 - Swiss Round 4 #4,HLTV,https://www.hltv.org/matches/2397694/nodwin-clutch-series-12-swiss-round-4-4-nodwin-clutch-series-12
24,2026-09-22,2397993,Exort Fiesta Series 2,Exort Fiesta Series 2 - Quarter-final #1,Exort Fiesta Series 2 - Quarter-final #1,HLTV,https://www.hltv.org/matches/2397993/exort-fiesta-series-2-quarter-final-1-exort-fiesta-series-2
25,2026-09-22,2398038,European Pro League Series 9,European Pro League Series 9 - Round of 16 #1,European Pro League Series 9 - Round of 16 #1,HLTV,https://www.hltv.org/matches/2398038/european-pro-league-series-9-round-of-16-1-european-pro-league-series-9
