match_date,source_match_id,event,team1,team2,source,source_url
2026-09-20,2398032,European Pro League Series 9,Bushido Wildcats,NAVI Junior,HLTV,https://www.hltv.org/matches/2398032/bushido-wildcats-vs-navi-junior-european-pro-league-series-9
2026-09-20,2398267,Circuit X Curitiba Season 3,BESTIA,ShindeN,HLTV,https://www.hltv.org/matches/2398267/bestia-vs-shinden-circuit-x-curitiba-season-3
2026-09-20,2398301,CROSSFIRE Season 6,Olympus,DETONATE,HLTV,https://www.hltv.org/matches/2398301/olympus-vs-detonate-crossfire-season-6
2026-09-20,2398302,CROSSFIRE Season 6,Villainous,Overtake Sector,HLTV,https://www.hltv.org/matches/2398302/villainous-vs-overtake-sector-crossfire-season-6
2026-09-20,2398304,CROSSFIRE Season 6,regain,Without a Roof,HLTV,https://www.hltv.org/matches/2398304/regain-vs-without-a-roof-crossfire-season-6
2026-09-20,2398310,CROSSFIRE Season 6,Babag,Zomblers,HLTV,https://www.hltv.org/matches/2398310/babag-vs-zomblers-crossfire-season-6
2026-09-20,2398311,CROSSFIRE Season 6,FarmVille,LAG,HLTV,https://www.hltv.org/matches/2398311/farmville-vs-lag-crossfire-season-6
2026-09-20,2398312,CROSSFIRE Season 6,Kodex,Unreal Nightmare,HLTV,https://www.hltv.org/matches/2398312/kodex-vs-unreal-nightmare-crossfire-season-6
2026-09-20,2398316,CROSSFIRE Season 6,my life be like,Beyond Limits,HLTV,https://www.hltv.org/matches/2398316/my-life-be-like-vs-beyond-limits-crossfire-season-6
2026-09-20,2398338,CCT 2026 Challengers South America Series 3,your end,RUSH,HLTV,https://www.hltv.org/matches/2398338/your-end-vs-rush-cct-2026-challengers-south-america-series-3
2026-09-20,2398339,CCT 2026 Challengers South America Series 3,MEIA NOITE,QUINTESSÊNCIA,HLTV,https://www.hltv.org/matches/2398339/meia-noite-vs-quintessncia-cct-2026-challengers-south-america-series-3
