provisional_sort_index,match_date,source_match_id,event,team1,team2,source,source_url,structural_validation,source_page_verification,date_verification,review_flags
1,2026-09-20,2397687,NODWIN Clutch Series 12,G2 Ares,Honvéd,HLTV,https://www.hltv.org/matches/2397687/g2-ares-vs-honvd-nodwin-clutch-series-12,PASS,REQUIRES_INDEPENDENT_VERIFICATION,REQUIRES_CONSISTENT_DATE_CONVENTION,
2,2026-09-20,2397688,NODWIN Clutch Series 12,Color,UPGRADE,HLTV,https://www.hltv.org/matches/2397688/color-vs-upgrade-nodwin-clutch-series-12,PASS,REQUIRES_INDEPENDENT_VERIFICATION,REQUIRES_CONSISTENT_DATE_CONVENTION,
3,2026-09-20,2397689,NODWIN Clutch Series 12,BRUTE,BET-M,HLTV,https://www.hltv.org/matches/2397689/brute-vs-bet-m-nodwin-clutch-series-12,PASS,REQUIRES_INDEPENDENT_VERIFICATION,REQUIRES_CONSISTENT_DATE_CONVENTION,
4,2026-09-20,2397690,NODWIN Clutch Series 12,INOX Division,SPARTA,HLTV,https://www.hltv.org/matches/2397690/inox-division-vs-sparta-nodwin-clutch-series-12,PASS,REQUIRES_INDEPENDENT_VERIFICATION,REQUIRES_CONSISTENT_DATE_CONVENTION,
5,2026-09-20,2397828,CCT 2026 Europe Series 9,ex-RUSTEC,Azuolas,HLTV,https://www.hltv.org/matches/2397828/ex-rustec-vs-azuolas-cct-2026-europe-series-9,PASS,REQUIRES_INDEPENDENT_VERIFICATION,REQUIRES_CONSISTENT_DATE_CONVENTION,
6,2026-09-20,2397829,CCT 2026 Europe Series 9,Lavked,ENCE,HLTV,https://www.hltv.org/matches/2397829/lavked-vs-ence-cct-2026-europe-series-9,PASS,REQUIRES_INDEPENDENT_VERIFICATION,REQUIRES_CONSISTENT_DATE_CONVENTION,
7,2026-09-20,2397830,CCT 2026 Europe Series 9,QUAZAR,G2 Ares,HLTV,https://www.hltv.org/matches/2397830/quazar-vs-g2-ares-cct-2026-europe-series-9,PASS,REQUIRES_INDEPENDENT_VERIFICATION,REQUIRES_CONSISTENT_DATE_CONVENTION,
8,2026-09-20,2397831,CCT 2026 Europe Series 9,BAKS,Black Phoenix,HLTV,https://www.hltv.org/matches/2397831/baks-vs-black-phoenix-cct-2026-europe-series-9,PASS,REQUIRES_INDEPENDENT_VERIFICATION,REQUIRES_CONSISTENT_DATE_CONVENTION,
9,2026-09-20,2397986,Exort Fiesta Series 2,STATE,Teletubisie,HLTV,https://www.hltv.org/matches/2397986/state-vs-teletubisie-exort-fiesta-series-2,PASS,REQUIRES_INDEPENDENT_VERIFICATION,REQUIRES_CONSISTENT_DATE_CONVENTION,
10,2026-09-20,2398032,European Pro League Series 9,Bushido Wildcats,NAVI Junior,HLTV,https://www.hltv.org/matches/2398032/bushido-wildcats-vs-navi-junior-european-pro-league-series-9,PASS,REQUIRES_INDEPENDENT_VERIFICATION,REQUIRES_CONSISTENT_DATE_CONVENTION,
11,2026-09-20,2398107,StarLadder StarSeries Fall 2026,Vitality,FURIA,HLTV,https://www.hltv.org/matches/2398107/vitality-vs-furia-starladder-starseries-fall-2026,PASS,REQUIRES_INDEPENDENT_VERIFICATION,REQUIRES_CONSISTENT_DATE_CONVENTION,VERIFY_MATCH_PARTICIPANTS
